,magnitude,depth
0,4.9,33.72
1,3.09,8.0
2,5.0,10.0
3,2.49,10.0
4,3.99,8.98
5,5.0,35.42
6,2.67,8.84
7,3.41,11.0
8,2.6,14.1
9,2.68,7.0
10,5.0,10.0
11,2.6,10.0
12,4.2,10.0
13,2.68,33.37
14,3.1,9.0
15,3.16,9.0
16,4.9,10.0
17,2.84,9.0
18,4.6,46.17
19,4.8,48.52
20,4.7,35.49
21,5.1,35.0
22,3.37,53.0
23,2.85,15.0
24,3.2,7.0
25,4.6,39.55
26,4.6,68.51
27,4.9,45.65
28,2.94,8.0
29,3.25,13.0
30,2.62,13.0
31,4.0,158.0
32,2.95,10.0
33,3.2,16.96
34,3.32,6.0
35,3.02,10.0
36,3.02,8.0
37,2.98,31.42
38,2.99,-0.39
39,3.02,13.0
40,5.0,10.0
41,2.51,31.99
42,3.24,3.87
43,2.83,12.0
44,4.7,72.0
45,3.15,6.0
46,3.0,10.0
47,4.5,10.0
48,3.1,14.29
49,2.75,10.83
50,3.5,8.0
51,2.79,11.0
52,5.1,87.4
53,2.5,5.0
54,2.47,9.34
55,3.16,5.0
56,2.82,12.0
57,4.1,185.08
58,2.61,12.0
59,2.59,12.0
60,4.1,17.34
61,2.62,14.0
62,2.49,14.0
63,2.61,10.0
64,2.57,12.0
65,2.45,12.0
66,4.5,533.04
67,2.79,12.0
68,2.93,6.33
69,2.78,10.0
70,4.2,88.99
71,4.3,5.0
72,3.4,0.0
73,2.63,5.0
74,4.2,10.0
75,2.47,10.0
76,3.5,8.9
77,2.9,5.0
78,2.6,5.0
79,2.69,14.0
80,4.0,73.07
81,2.67,5.0
82,4.8,10.0
83,3.0,5.0
84,2.47,11.0
85,2.9,34.0
86,2.87,2.0
87,2.48,9.0
88,3.8,10.0
89,2.85,11.0
90,4.8,10.0
91,5.7,23.22
92,2.52,1.51
93,2.64,13.0
94,3.14,13.0
95,3.62,91.0
96,4.5,361.78
97,2.7,9.0
98,2.49,8.0
99,5.3,6.95
100,4.8,147.97
101,3.1,171.5
102,2.71,1.39
103,4.9,537.31
104,2.47,12.0
105,2.94,13.0
106,4.6,503.92
107,2.63,10.0
108,2.57,11.0
109,4.5,94.89
110,2.61,8.69
111,2.51,10.0
112,2.61,14.0
113,4.9,26.22
114,2.57,10.0
115,2.46,6.0
116,2.45,10.0
117,2.59,11.0
118,2.73,10.0
119,2.66,-0.52
120,2.55,12.0
121,2.93,0.72
122,2.84,17.0
123,2.62,18.0
124,4.2,200.96
125,2.88,5.0
126,4.7,149.32
127,2.65,8.0
128,2.61,32.98
129,2.5,10.0
130,4.6,129.32
131,2.61,11.0
132,2.9,0.0
133,4.7,35.06
134,2.5,12.0
135,2.81,11.0
136,2.92,13.0
137,2.59,6.0
138,2.84,5.0
139,4.4,45.56
140,3.01,3.0
141,2.58,12.0
142,2.49,12.0
143,2.84,14.0
144,2.71,13.0
145,4.2,46.03
146,2.84,5.0
147,3.5,13.79
148,2.9,0.0
149,2.51,6.0
150,2.7,107.2
151,3.53,7.0
152,2.58,2.0
153,2.57,4.0
154,4.1,401.55
155,2.95,11.0
156,4.4,104.46
157,3.4,42.35
158,2.5,9.0
159,2.6,10.0
160,4.8,76.72
161,3.9,14.72
162,3.1,4.59
163,4.4,10.0
164,2.89,64.0
165,4.6,35.0
166,2.98,62.0
167,2.49,6.0
168,2.7,10.0
169,5.3,141.63
170,2.67,10.0
171,2.61,12.0
172,4.7,10.0
173,3.5,56.6
174,4.0,122.47
175,2.74,9.0
176,5.1,10.0
177,2.71,12.0
178,4.0,10.0
179,2.45,12.0
180,2.95,6.79
181,2.49,14.0
182,2.55,17.0
183,2.89,10.0
184,2.95,7.0
185,2.67,10.0
186,4.8,10.0
187,2.74,3.0
188,2.9,35.0
189,4.6,99.95
190,4.5,102.38
191,5.3,10.0
192,2.65,7.0
193,4.3,117.33
194,4.7,148.37
195,2.45,8.23
196,4.5,10.0
197,3.0,21.9
198,3.0,15.0
199,4.1,10.0
200,4.4,10.0
201,4.1,460.37
202,3.1,33.9
203,2.53,18.33
204,2.59,7.0
205,5.1,10.0
206,4.1,16.0
207,3.8,11.0
208,2.7,16.0
209,2.59,9.0
210,2.62,4.0
211,4.1,10.0
212,5.1,103.61
213,4.6,10.0
214,4.5,108.08
215,2.92,13.0
216,4.3,261.89
217,2.46,13.0
218,2.63,2.33
219,4.2,10.0
220,3.7,-1.3
221,4.6,59.41
222,2.68,10.0
223,2.7,12.19
224,4.5,10.0
225,2.5,19.3
226,3.05,4.0
227,2.53,7.31
228,2.79,12.0
229,5.8,10.0
230,3.6,15.25
231,4.0,54.48
232,2.65,3.0
233,2.65,11.0
234,2.68,8.0
235,2.82,3.0
236,4.3,148.92
237,4.5,57.34
238,3.1,2.0
239,2.74,13.0
240,4.8,10.0
241,2.7,12.0
242,4.2,161.54
243,2.49,12.0
244,2.7,20.0
245,2.55,13.0
246,3.0,2.8
247,2.7,2.0
248,2.5,8.0
249,2.8,14.0
250,2.89,14.0
251,2.48,6.0
252,2.74,11.0
253,2.5,49.4
254,2.8,10.0
255,2.63,11.0
256,2.5,11.0
257,3.09,9.0
258,3.3,10.0
259,3.4,67.5
260,2.63,11.0
261,4.6,10.0
262,3.68,2.73
263,5.4,10.0
264,2.68,12.0
265,2.79,12.0
266,2.46,32.16
267,2.47,8.0
268,2.46,8.0
269,5.0,51.55
270,2.48,4.0
271,5.5,122.0
272,2.52,9.74
273,2.57,15.0
274,2.75,13.0
275,2.77,13.0
276,2.52,9.0
277,5.3,10.0
278,2.85,11.0
279,4.0,112.05
280,3.01,13.0
281,2.61,9.0
282,4.8,10.0
283,2.74,11.0
284,3.02,11.0
285,4.6,141.47
286,2.91,-1.89
287,2.65,19.0
288,4.7,483.03
289,2.48,14.0
290,3.45,10.0
291,4.5,10.0
292,2.52,7.99
293,2.62,5.0
294,2.92,10.0
295,4.6,51.97
296,3.9,40.9
297,2.59,7.0
298,2.72,10.0
299,3.01,14.0
300,3.04,11.0
301,3.35,9.0
302,3.03,44.3
303,2.6,9.0
304,2.89,11.0
305,2.63,4.0
306,2.55,1.71
307,2.8,33.7
308,2.61,27.03
309,3.02,13.0
310,5.1,10.0
311,2.6,12.0
312,2.89,8.0
313,4.8,227.2
314,3.07,16.0
315,2.74,6.77
316,4.7,88.17
317,3.2,11.0
318,4.6,10.0
319,4.2,39.02
320,2.52,14.0
321,4.8,75.68
322,4.6,14.23
323,2.69,12.0
324,3.4,10.0
325,2.45,14.0
326,2.5,11.0
327,2.54,5.0
328,2.54,12.0
329,4.8,46.92
330,2.6,10.0
331,4.6,10.0
332,2.6,101.7
333,2.9,5.0
334,2.84,2.11
335,3.68,2.29
336,2.82,1.75
337,3.5,4.62
338,2.48,13.0
339,4.5,10.0
340,2.49,12.0
341,4.6,10.0
342,2.86,11.0
343,4.4,10.0
344,5.0,10.0
345,2.84,15.0
346,2.73,6.0
347,2.92,13.0
348,4.6,10.0
349,2.54,15.44
350,4.9,10.0
351,2.88,12.0
352,4.6,601.59
353,4.4,10.0
354,3.05,10.0
355,2.69,18.18
356,2.61,15.0
357,2.81,10.0
358,3.18,13.0
359,2.75,10.0
360,3.0,15.0
361,2.93,5.0
362,3.16,13.0
363,5.9,61.16
364,4.8,10.0
365,4.8,10.0
366,2.71,14.0
367,4.4,116.79
368,3.06,10.0
369,2.57,12.0
370,2.47,4.93
371,2.73,7.0
372,3.5,20.0
373,2.69,11.0
374,2.8,97.3
375,2.64,11.85
376,2.52,13.0
377,4.5,198.88
378,5.0,10.0
379,4.3,162.41
380,3.36,57.0
381,3.24,22.0
382,3.37,23.0
383,5.0,10.0
384,3.3,15.7
385,3.32,3.97
386,4.3,10.0
387,3.03,11.0
388,4.3,137.45
389,5.2,10.0
390,4.6,71.83
391,3.2,13.0
